Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
N1500307	SRST2_20160428	NZ_CP009862	NZ_CP009862	88.725	298.24	83snp7indel9034holes		0.117	80186	0.495	622	00645	no
N1500307	SRST2_20160428	NC_019151	NC_019151	99.959	255.895	2snp4indel		0.02	9803	0.06	1268	01147	no
N1500307	SRST2_20160428	NC_023910	NC_023910	80.865	302.793	95snp15indel10206holes		0.22	53416	0.5	885	01102	no
N1500307	SRST2_20160428	NC_020086	NC_020086	79.95	292.59	133snp11indel16051holes	edge0.0	0.208	80105	0.5	624	00651	no
N1500307	SRST2_20160428	NC_011383	NC_011383	80.154	245.599	352snp18indel14012holes		0.621	70655	0.5	704	01488	no
N1500307	SRST2_20160428	NC_024974	NC_024974	85.328	318.227	281snp13indel6339holes		0.761	43265	0.5	987	01718	no
N1500307	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.481	306.752	87snp9indel5941holes		0.172	56557	0.5	856	00956	no
N1500307	SRST2_20160428	NC_021622	NC_021622	87.243	295.926	44snp5indel7164holes		0.09	56171	0.5	857	00957	no
N1500307	SRST2_20160428	NC_025186	NC_025186	83.96	291.552	54snp10indel9490holes		0.109	59228	0.5	836	00712	no
N1500307	SRST2_20160428	NC_019087	NC_019087	81.642	272.947	328snp24indel8107holes		0.908	44216	0.5	970	01070	no
N1500307	SRST2_20160428	NZ_CP009867	NZ_CP009867	94.093	305.443	49snp8indel3184holes		0.096	54000	0.5	877	01216	no
N1500307	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.552	306.767	53snp6indel259holes		0.09	59138	0.5	838	00716	no
N1500307	SRST2_20160428	NZ_CP009864	NZ_CP009864	99.99	302.44	51snp6indel		0.081	62589	0.5	809	00357	no
N1500307	SRST2_20160428	NC_022374	NC_022374	77.868	295.757	91snp15indel12019holes		0.215	54373	0.5	871	01222	no
N1500307	SRST2_20160428	NC_025019	NC_025019	90.599	295.444	89snp10indel6153holes		0.15	65549	0.5	782	00726	no
N1500307	SRST2_20160428	NC_015515	NC_015515	99.99	341.342	6snp1indel		0.057	10497	0.445	1255	01315	no
N1500307	SRST2_20160428	NC_011385	NC_011385	83.813	290.386	43snp3indel12238holes		0.068	75617	0.486	653	01555	no
N1500307	SRST2_20160428	NC_019166	NC_019166	93.609	277.879	32snp5indel3241holes		0.067	50775	0.5	915	00813	no
N1500307	SRST2_20160428	NZ_CP010383	NZ_CP010383	97.942	131.636	30snp4indel2188holes		0.029	106410	0.5	420	00422	no
N1500307	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	308.279	47snp6indel		0.093	50333	0.495	917	00815	no
N1500307	SRST2_20160428	NZ_CM002367	NZ_CM002367	99.96	488.428	5snp2indel		0.201	2493	0.445	1754	00096	no
N1500307	SRST2_20160428	NC_019124	NC_019124	93.538	267.893	269snp11indel2641holes	edge0.0	0.701	40995	0.496	1010	01178	no
N1500307	SRST2_20160428	NC_020088	NC_020088	92.983	324.604	48snp6indel3584holes		0.101	51160	0.482	912	00820	no
N1500307	SRST2_20160428	NC_021664	NC_021664	86.338	243.083	404snp24indel7236holes		0.881	53081	0.5	893	01230	no
N1500307	SRST2_20160428	NC_019033	NC_019033	85.332	309.748	302snp15indel6209holes	edge0.0	0.835	42379	0.5	993	01584	no
N1500307	SRST2_20160428	NC_014208	NC_014208	90.758	303.079	47snp8indel5044holes		0.095	54641	0.5	868	01087	no
N1500307	SRST2_20160428	NZ_CP012143	NZ_CP012143	89.774	293.086	296snp43indel4284holes		0.785	42002	0.499	999	01586	no
N1500307	SRST2_20160428	NC_021660	NC_021660	87.175	242.964	460snp23indel6988holes		0.966	54605	0.5	869	01086	no
N1500307	SRST2_20160428	NC_019098	NC_019098	83.918	304.641	284snp10indel6348holes	edge0.0	0.856	39510	0.497	1024	00864	no
N1500307	SRST2_20160428	NZ_CP011604	NZ_CP011604	100.0	956.881			0.0	3223	0.277	1702	00491	no
N1500307	SRST2_20160428	NZ_CP011652	NZ_CP011652	100.0	962.038			0.0	3223	0.277	1703	01053	no
N1500307	SRST2_20160428	NZ_CP012991	NZ_CP012991	100.0	955.6	2snp		0.062	3223	0.278	1704	00493	no
N1500307	SRST2_20160428	NZ_CP003994	NZ_CP003994	100.0	954.918			0.0	3223	0.278	1705	00494	no
N1500307	SRST2_20160428	NZ_CP011637	NZ_CP011637	100.0	957.123			0.0	3223	0.277	1706	00495	no
N1500307	SRST2_20160428	NZ_CP010389	NZ_CP010389	99.92	487.251	5snp2indel		0.2	2496	0.491	1753	00097	no
N1500307	SRST2_20160428	NZ_CP006924	NZ_CP006924	79.771	271.462	64snp7indel2206holes	edge0.0	0.734	10925	0.5	1243	01220	no
N1500307	SRST2_20160428	NZ_CP010385	NZ_CP010385	97.947	131.641	31snp3indel2188holes		0.03	106698	0.497	417	00279	no
N1500307	SRST2_20160428	NC_022375	NC_022375	84.667	292.822	28snp7indel9105holes		0.056	59395	0.497	829	00584	no
N1500307	SRST2_20160428	NC_024967	NC_024967	90.942	269.458	254snp7indel6590holes		0.384	72800	0.5	686	00134	no
N1500307	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.914	310.851	46snp9indel1026holes		0.095	49467	0.5	925	00705	no
N1500308	SRST2_20160428	NZ_CP009862	NZ_CP009862	88.86	298.266	94snp6indel8927holes		0.132	80186	0.499	622	00645	no
N1500308	SRST2_20160428	NC_019151	NC_019151	99.959	243.965	2snp4indel		0.02	9803	0.072	1268	01147	no
N1500308	SRST2_20160428	NC_014368	NC_014368	75.977	290.872	560snp47indel19020holes		0.929	79307	0.5	627	00648	no
N1500308	SRST2_20160428	NC_023910	NC_023910	80.364	308.458	93snp13indel10476holes		0.217	53416	0.5	885	01102	no
N1500308	SRST2_20160428	NC_011383	NC_011383	83.745	238.935	405snp20indel11470holes		0.684	70655	0.5	704	01488	no
N1500308	SRST2_20160428	NC_024974	NC_024974	85.372	327.294	293snp12indel6321holes		0.793	43265	0.5	987	01718	no
N1500308	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.503	309.238	91snp8indel5930holes		0.18	56557	0.499	856	00956	no
N1500308	SRST2_20160428	NC_021622	NC_021622	82.178	307.049	50snp5indel10009holes		0.108	56171	0.5	857	00957	no
N1500308	SRST2_20160428	NC_025186	NC_025186	76.047	310.276	48snp10indel14178holes		0.107	59228	0.5	836	00712	no
N1500308	SRST2_20160428	NC_019087	NC_019087	82.366	294.744	342snp27indel7786holes		0.939	44216	0.5	970	01070	no
N1500308	SRST2_20160428	NZ_CP009867	NZ_CP009867	99.991	305.904	48snp7indel		0.089	54000	0.499	877	01216	no
N1500308	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.552	309.806	49snp5indel260holes		0.083	59138	0.5	838	00716	no
N1500308	SRST2_20160428	NC_022374	NC_022374	79.151	293.921	107snp15indel11322holes		0.249	54373	0.5	871	01222	no
N1500308	SRST2_20160428	NC_015515	NC_015515	87.72	257.772	18snp1indel1289holes	edge0.0	0.195	10497	0.5	1255	01315	no
N1500308	SRST2_20160428	NZ_CP009874	NZ_CP009874	75.099	240.378	461snp18indel12452holes		1.226	50051	0.5	919	00811	no
N1500308	SRST2_20160428	NC_011385	NC_011385	84.101	286.205	70snp2indel12021holes		0.11	75617	0.5	653	01555	no
N1500308	SRST2_20160428	NC_019166	NC_019166	83.212	300.562	30snp4indel8520holes		0.071	50775	0.5	915	00813	no
N1500308	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.99	310.842	46snp5indel		0.091	50333	0.499	917	00815	no
N1500308	SRST2_20160428	NC_019124	NC_019124	87.389	282.033	281snp9indel5164holes	edge0.0	0.784	40995	0.5	1010	01178	no
N1500308	SRST2_20160428	NC_020088	NC_020088	78.159	373.616	67snp5indel11169holes		0.168	51160	0.5	912	00820	no
N1500308	SRST2_20160428	NC_021664	NC_021664	90.023	249.442	401snp27indel5276holes		0.839	53081	0.5	893	01230	no
N1500308	SRST2_20160428	NC_019033	NC_019033	86.555	310.282	318snp17indel5690holes	edge0.0	0.867	42379	0.5	993	01584	no
